Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude,geometry
2017,27/11,27/11/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,27/11,27/11/2017,Kelantan,Kota Bharu,Peringat,"Peringat, Kota Bharu, Kelantan",1,6.0225511,102.2867408,POINT (102.2867408 6.0225511)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Kota,"Kota, Kota Bharu, Kelantan",1,6.0843597,102.2383984,POINT (102.2383984 6.0843597)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Ketereh,"Ketereh, Kota Bharu, Kelantan",1,5.9588765,102.251282,POINT (102.251282 5.9588765)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Ketereh,"Ketereh, Kota Bharu, Kelantan",1,5.9588765,102.251282,POINT (102.251282 5.9588765)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Limbat,"Limbat, Kota Bharu, Kelantan",1,5.9259236,102.2371321,POINT (102.2371321 5.9259236)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,28/11,28/11/2017,Kelantan,Kota Bharu,Peringat,"Peringat, Kota Bharu, Kelantan",1,6.0225511,102.2867408,POINT (102.2867408 6.0225511)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Kadok,"Kadok, Kota Bharu, Kelantan",1,5.9948606,102.2455147,POINT (102.2455147 5.9948606)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Kota,"Kota, Kota Bharu, Kelantan",1,6.0843597,102.2383984,POINT (102.2383984 6.0843597)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Kubang Kerian,"Kubang Kerian, Kota Bharu, Kelantan",1,6.0940366,102.2845137,POINT (102.2845137 6.0940366)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Ketereh,"Ketereh, Kota Bharu, Kelantan",1,5.9588765,102.251282,POINT (102.251282 5.9588765)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Ketereh,"Ketereh, Kota Bharu, Kelantan",1,5.9588765,102.251282,POINT (102.251282 5.9588765)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Limbat,"Limbat, Kota Bharu, Kelantan",1,5.9259236,102.2371321,POINT (102.2371321 5.9259236)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,29/11,29/11/2017,Kelantan,Kota Bharu,Peringat,"Peringat, Kota Bharu, Kelantan",1,6.0225511,102.2867408,POINT (102.2867408 6.0225511)
2017,30/11,30/11/2017,Kelantan,Kota Bharu,Ketereh,"Ketereh, Kota Bharu, Kelantan",1,5.9588765,102.251282,POINT (102.251282 5.9588765)
2017,30/11,30/11/2017,Kelantan,Kota Bharu,Limbat,"Limbat, Kota Bharu, Kelantan",1,5.9259236,102.2371321,POINT (102.2371321 5.9259236)
2017,30/11,30/11/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,30/11,30/11/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,12-Jan,1/12/2017,Kelantan,Kota Bharu,Limbat ,"Limbat , Kota Bharu, Kelantan",1,5.9259236,102.2371321,POINT (102.2371321 5.9259236)
2017,12-Jan,1/12/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,12-Jan,1/12/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,12-Feb,2/12/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,12-Feb,2/12/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,12-Mar,3/12/2017,Kelantan,Kota Bharu,Pendek,"Pendek, Kota Bharu, Kelantan",1,6.0501315,102.2174327,POINT (102.2174327 6.0501315)
2017,23/1,23/1/2017,Kuala Lumpur,Kuala Lumpur,Batu Muda Tambahan,"Batu Muda Tambahan, Kuala Lumpur, Kuala Lumpur",1,3.2114854,101.6906592,POINT (101.6906592 3.2114854)
2017,23/1,23/1/2017,Kuala Lumpur,Kuala Lumpur,0,"0, Kuala Lumpur, Kuala Lumpur",1,3.1661845,101.7192691,POINT (101.7192691 3.1661845)
2017,23/1,23/1/2017,Kuala Lumpur,Kuala Lumpur,Persiaran Hilir Ampang,"Persiaran Hilir Ampang, Kuala Lumpur, Kuala Lumpur",1,3.1564055,101.7295161,POINT (101.7295161 3.1564055)
2017,19/3,19/3/2017,Kuala Lumpur,Kuala Lumpur,Jalan Tun Perak,"Jalan Tun Perak, Kuala Lumpur, Kuala Lumpur",1,3.1492318,101.6966297,POINT (101.6966297 3.1492318)
2017,19/3,19/3/2017,Kuala Lumpur,Kuala Lumpur,0,"0, Kuala Lumpur, Kuala Lumpur",1,3.1661845,101.7192691,POINT (101.7192691 3.1661845)
2017,25/5,25/5/2017,Kuala Lumpur,Kuala Lumpur,0,"0, Kuala Lumpur, Kuala Lumpur",1,3.1661845,101.7192691,POINT (101.7192691 3.1661845)
2017,25/5,25/5/2017,Kuala Lumpur,Kuala Lumpur,0,"0, Kuala Lumpur, Kuala Lumpur",1,3.1661845,101.7192691,POINT (101.7192691 3.1661845)
2017,25/5,25/5/2017,Kuala Lumpur,Kuala Lumpur,Jalan Tun Perak,"Jalan Tun Perak, Kuala Lumpur, Kuala Lumpur",1,3.1492318,101.6966297,POINT (101.6966297 3.1492318)
2017,25/5,25/5/2017,Kuala Lumpur,Kuala Lumpur, Jalan Ampang – Jelatek," Jalan Ampang – Jelatek, Kuala Lumpur, Kuala Lumpur",1,3.16391365,101.7343619,POINT (101.73436186475536 3.1639136499999996)
2017,25/5,25/5/2017,Kuala Lumpur,Kuala Lumpur,0,"0, Kuala Lumpur, Kuala Lumpur",1,3.1661845,101.7192691,POINT (101.7192691 3.1661845)
2017,25/5,25/5/2017,Kuala Lumpur,Kuala Lumpur,0,"0, Kuala Lumpur, Kuala Lumpur",1,3.1661845,101.7192691,POINT (101.7192691 3.1661845)
2017,30/5,30/5/2017,Kuala Lumpur,Kuala Lumpur, Jalan Rahmat," Jalan Rahmat, Kuala Lumpur, Kuala Lumpur",1,3.169686,101.6937883,POINT (101.6937883 3.169686)
